qid,video,question,type_code,relation_from_type,relation_from_lexical,relation_final,relation_disagreement,extraction_status,anchor_clause,target_entity,query_roles,query_texts,seed_texts,fallback_reason,n_text_embeddings,n_seed_queries,subject_prepended,head_form,v2_fallback_reason,v2_texts,sample_reason,human_label_anchor_ok,human_label_relation_ok,human_notes
8,8797589693,why is the lady in white holding a phone at the end,CW,CAUSE,,CAUSE,0,head_event,the lady in white holding a phone,,"[""original"", ""anchor_primary""]","[""why is the lady in white holding a phone at the end"", ""a video frame showing the lady in white holding a phone""]","[""why is the lady in white holding a phone at the end"", ""a video frame showing the lady in white holding a phone""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady in white holding a phone at the end"", ""why is the lady in white holding a phone at the end""]",stratified_CW,,,
1,5623068492,why does the man with black hair put up his hand,CW,CAUSE,,CAUSE,0,head_event,the man with black hair put up his hand,,"[""original"", ""anchor_primary""]","[""why does the man with black hair put up his hand"", ""a video frame showing the man with black hair put up his hand""]","[""why does the man with black hair put up his hand"", ""a video frame showing the man with black hair put up his hand""]",,2,2,0,why_head,,"[""a video frame showing the man with black hair put up his hand""]",stratified_CW,,,
2,6265968082,why is the man in brown strumming the guitar at the start of the video,CW,CAUSE,,CAUSE,0,head_event,the man in brown strumming the guitar at the start of the video,,"[""original"", ""anchor_primary""]","[""why is the man in brown strumming the guitar at the start of the video"", ""a video frame showing the man in brown strumming the guitar at the start of the video""]","[""why is the man in brown strumming the guitar at the start of the video"", ""a video frame showing the man in brown strumming the guitar at the start of the video""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the man in brown strumming the guitar at the start of the video"", ""why is the man in brown strumming the guitar at the start of the video""]",stratified_CW,,,
0,6516459343,why did the man in white stand beside the man in green while he is speaking,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the man in white stand beside the man in green,,"[""original"", ""anchor_primary""]","[""why did the man in white stand beside the man in green while he is speaking"", ""a video frame showing the man in white stand beside the man in green""]","[""why did the man in white stand beside the man in green while he is speaking"", ""a video frame showing the man in white stand beside the man in green""]",,2,2,0,why_head,,"[""a video frame showing the man in white stand beside the man in green while he is speaking""]",stratified_CW,,,
1,3626788516,why does the woman in brown hold the crocodile with both of her hands,CW,CAUSE,,CAUSE,0,head_event,the woman in brown hold the crocodile with both of her hands,,"[""original"", ""anchor_primary""]","[""why does the woman in brown hold the crocodile with both of her hands"", ""a video frame showing the woman in brown hold the crocodile with both of her hands""]","[""why does the woman in brown hold the crocodile with both of her hands"", ""a video frame showing the woman in brown hold the crocodile with both of her hands""]",,2,2,0,why_head,,"[""a video frame showing the woman in brown hold the crocodile with both of her hands""]",stratified_CW,,,
2,6516459343,why did the man in green point his hand at the man in white while he is talking,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the man in green point his hand at the man in white,,"[""original"", ""anchor_primary""]","[""why did the man in green point his hand at the man in white while he is talking"", ""a video frame showing the man in green point his hand at the man in white""]","[""why did the man in green point his hand at the man in white while he is talking"", ""a video frame showing the man in green point his hand at the man in white""]",,2,2,0,why_head,,"[""a video frame showing the man in green point his hand at the man in white while he is talking""]",stratified_CW,,,
9,5333075105,why did the man stopped moving at the end of the video,CW,CAUSE,,CAUSE,0,head_event,the man stopped moving,,"[""original"", ""anchor_primary""]","[""why did the man stopped moving at the end of the video"", ""a video frame showing the man stopped moving""]","[""why did the man stopped moving at the end of the video"", ""a video frame showing the man stopped moving""]",,2,2,0,why_head,,"[""a video frame showing the man stopped moving at the end of the video""]",stratified_CW,,,
2,6621511673,why is the man pointing on the different pictures,CW,CAUSE,,CAUSE,0,head_event,the man pointing on the different pictures,,"[""original"", ""anchor_primary""]","[""why is the man pointing on the different pictures"", ""a video frame showing the man pointing on the different pictures""]","[""why is the man pointing on the different pictures"", ""a video frame showing the man pointing on the different pictures""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the man pointing on the different pictures"", ""why is the man pointing on the different pictures""]",stratified_CW,,,
4,2868183184,why does the lady in flower skirt shift to the left of the girl in white in the middle,CW,CAUSE,,CAUSE,0,head_event,the lady in flower skirt shift to the left of the girl in white,,"[""original"", ""anchor_primary""]","[""why does the lady in flower skirt shift to the left of the girl in white in the middle"", ""a video frame showing the lady in flower skirt shift to the left of the girl in white""]","[""why does the lady in flower skirt shift to the left of the girl in white in the middle"", ""a video frame showing the lady in flower skirt shift to the left of the girl in white""]",,2,2,0,why_head,,"[""a video frame showing the lady in flower skirt shift to the left of the girl in white in the middle""]",stratified_CW,,,
7,6024684644,why did the lady look at the man while he digs the hole,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the lady look at the man,,"[""original"", ""anchor_primary""]","[""why did the lady look at the man while he digs the hole"", ""a video frame showing the lady look at the man""]","[""why did the lady look at the man while he digs the hole"", ""a video frame showing the lady look at the man""]",,2,2,0,why_head,,"[""a video frame showing the lady look at the man while he digs the hole""]",stratified_CW,,,
8,8107573462,how did the man make sure that the boy does not get drag on the ground when he fell,CH,MANNER,DURING,MANNER,1,clause_extracted,the man make sure that the boy does not get drag on the ground,,"[""original"", ""anchor_primary""]","[""how did the man make sure that the boy does not get drag on the ground when he fell"", ""a video frame showing the man make sure that the boy does not get drag on the ground""]","[""how did the man make sure that the boy does not get drag on the ground when he fell"", ""a video frame showing the man make sure that the boy does not get drag on the ground""]",,2,2,0,how_head,,"[""a video frame showing the man make sure that the boy does not get drag on the ground when he fell""]",stratified_CH,,,
8,4970148391,how does the boy keep the bat stable on the ground,CH,MANNER,,MANNER,0,head_event,the boy keep the bat stable on the ground,,"[""original"", ""anchor_primary""]","[""how does the boy keep the bat stable on the ground"", ""a video frame showing the boy keep the bat stable on the ground""]","[""how does the boy keep the bat stable on the ground"", ""a video frame showing the boy keep the bat stable on the ground""]",,2,2,0,how_head,,"[""a video frame showing the boy keep the bat stable on the ground""]",stratified_CH,,,
9,7149153537,how did the bald man support the girl in orange,CH,MANNER,,MANNER,0,head_event,the bald man support the girl in orange,,"[""original"", ""anchor_primary""]","[""how did the bald man support the girl in orange"", ""a video frame showing the bald man support the girl in orange""]","[""how did the bald man support the girl in orange"", ""a video frame showing the bald man support the girl in orange""]",,2,2,0,how_head,,"[""a video frame showing the bald man support the girl in orange""]",stratified_CH,,,
4,6691330381,how does the man grab the boy,CH,MANNER,,MANNER,0,head_event,the man grab the boy,,"[""original"", ""anchor_primary""]","[""how does the man grab the boy"", ""a video frame showing the man grab the boy""]","[""how does the man grab the boy"", ""a video frame showing the man grab the boy""]",,2,2,0,how_head,,"[""a video frame showing the man grab the boy""]",stratified_CH,,,
6,3145698830,how did the man tell the baby to sit on the white stuffed toy,CH,MANNER,,MANNER,0,head_event,the man tell the baby to sit on the white stuffed toy,,"[""original"", ""anchor_primary""]","[""how did the man tell the baby to sit on the white stuffed toy"", ""a video frame showing the man tell the baby to sit on the white stuffed toy""]","[""how did the man tell the baby to sit on the white stuffed toy"", ""a video frame showing the man tell the baby to sit on the white stuffed toy""]",,2,2,0,how_head,,"[""a video frame showing the man tell the baby to sit on the white stuffed toy""]",stratified_CH,,,
8,3943634344,how did the lady compliment the girl at the end of the video,CH,MANNER,,MANNER,0,head_event,the lady compliment the girl,,"[""original"", ""anchor_primary""]","[""how did the lady compliment the girl at the end of the video"", ""a video frame showing the lady compliment the girl""]","[""how did the lady compliment the girl at the end of the video"", ""a video frame showing the lady compliment the girl""]",,2,2,0,how_head,,"[""a video frame showing the lady compliment the girl at the end of the video""]",stratified_CH,,,
0,2535384528,how did the man in black manage to make the ball fly so far,CH,MANNER,,MANNER,0,head_event,the man in black manage to make the ball fly so far,,"[""original"", ""anchor_primary""]","[""how did the man in black manage to make the ball fly so far"", ""a video frame showing the man in black manage to make the ball fly so far""]","[""how did the man in black manage to make the ball fly so far"", ""a video frame showing the man in black manage to make the ball fly so far""]",,2,2,0,how_head,,"[""a video frame showing the man in black manage to make the ball fly so far""]",stratified_CH,,,
1,3763643225,how did the boy support himself when he is about to fall,CH,MANNER,DURING,MANNER,1,clause_extracted,the boy support himself,,"[""original"", ""anchor_primary""]","[""how did the boy support himself when he is about to fall"", ""a video frame showing the boy support himself""]","[""how did the boy support himself when he is about to fall"", ""a video frame showing the boy support himself""]",,2,2,0,how_head,,"[""a video frame showing the boy support himself when he is about to fall""]",stratified_CH,,,
10,6143391925,how did the baby play with the ball,CH,MANNER,,MANNER,0,head_event,the baby play with the ball,,"[""original"", ""anchor_primary""]","[""how did the baby play with the ball"", ""a video frame showing the baby play with the ball""]","[""how did the baby play with the ball"", ""a video frame showing the baby play with the ball""]",,2,2,0,how_head,,"[""a video frame showing the baby play with the ball""]",stratified_CH,,,
4,2604394962,how did the man make the toy seem like it is looking down from the great height,CH,MANNER,,MANNER,0,head_event,the man make the toy seem like it is looking down from the great height,,"[""original"", ""anchor_primary""]","[""how did the man make the toy seem like it is looking down from the great height"", ""a video frame showing the man make the toy seem like it is looking down from the great height""]","[""how did the man make the toy seem like it is looking down from the great height"", ""a video frame showing the man make the toy seem like it is looking down from the great height""]",,2,2,0,how_head,,"[""a video frame showing the man make the toy seem like it is looking down from the great height""]",stratified_CH,,,
1,2930782930,how did the lady show affection to the boy in the middle of the video,CH,MANNER,,MANNER,0,head_event,the lady show affection to the boy,,"[""original"", ""anchor_primary""]","[""how did the lady show affection to the boy in the middle of the video"", ""a video frame showing the lady show affection to the boy""]","[""how did the lady show affection to the boy in the middle of the video"", ""a video frame showing the lady show affection to the boy""]",,2,2,0,how_head,,"[""a video frame showing the lady show affection to the boy in the middle of the video""]",stratified_CH,,,
7,2696280239,how was the person on the bull moving his right arm,CH,MANNER,,MANNER,0,head_event,the person on the bull moving his right arm,,"[""original"", ""anchor_primary""]","[""how was the person on the bull moving his right arm"", ""a video frame showing the person on the bull moving his right arm""]","[""how was the person on the bull moving his right arm"", ""a video frame showing the person on the bull moving his right arm""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how was the person on the bull moving his right arm"", ""how was the person on the bull moving his right arm""]",stratified_CH,,,
4,8211075660,how did the car not hit the yellow tape,CH,MANNER,,MANNER,0,head_event,the car not hit the yellow tape,,"[""original"", ""anchor_primary""]","[""how did the car not hit the yellow tape"", ""a video frame showing the car not hit the yellow tape""]","[""how did the car not hit the yellow tape"", ""a video frame showing the car not hit the yellow tape""]",,2,2,0,how_head,,"[""a video frame showing the car not hit the yellow tape""]",stratified_CH,,,
8,3261079025,how was the plane moving before it took off,CH,MANNER,BEFORE,MANNER,1,clause_extracted,the plane moving,,"[""original"", ""anchor_primary""]","[""how was the plane moving before it took off"", ""a video frame showing the plane moving""]","[""how was the plane moving before it took off"", ""a video frame showing the plane moving""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how was the plane moving before it took off"", ""how was the plane moving before it took off""]",stratified_CH,,,
3,3455926688,how is the kite moving,CH,MANNER,,MANNER,0,head_event,the kite moving,,"[""original"", ""anchor_primary""]","[""how is the kite moving"", ""a video frame showing the kite moving""]","[""how is the kite moving"", ""a video frame showing the kite moving""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how is the kite moving"", ""how is the kite moving""]",stratified_CH,,,
5,4671452046,how did the lady in purple prevent the baby from falling when he bend down to stir the cup,CH,MANNER,DURING,MANNER,1,clause_extracted,the lady in purple prevent the baby from falling,,"[""original"", ""anchor_primary""]","[""how did the lady in purple prevent the baby from falling when he bend down to stir the cup"", ""a video frame showing the lady in purple prevent the baby from falling""]","[""how did the lady in purple prevent the baby from falling when he bend down to stir the cup"", ""a video frame showing the lady in purple prevent the baby from falling""]",,2,2,0,how_head,,"[""a video frame showing the lady in purple prevent the baby from falling when he bend down to stir the cup""]",stratified_CH,,,
8,4420239986,how does the cat attack the dog s face,CH,MANNER,,MANNER,0,head_event,the cat attack the dog s face,,"[""original"", ""anchor_primary""]","[""how does the cat attack the dog's face"", ""a video frame showing the cat attack the dog's face""]","[""how does the cat attack the dog's face"", ""a video frame showing the cat attack the dog's face""]",,2,2,0,how_head,,"[""a video frame showing the cat attack the dog's face""]",stratified_CH,,,
8,9576671750,how did the person show the back of the phone,CH,MANNER,,MANNER,0,head_event,the person show the back of the phone,,"[""original"", ""anchor_primary""]","[""how did the person show the back of the phone"", ""a video frame showing the person show the back of the phone""]","[""how did the person show the back of the phone"", ""a video frame showing the person show the back of the phone""]",,2,2,0,how_head,,"[""a video frame showing the person show the back of the phone""]",stratified_CH,,,
6,4092992100,how does the guy in red move his bicycle up at the start,CH,MANNER,,MANNER,0,head_event,the guy in red move his bicycle up at the start,,"[""original"", ""anchor_primary""]","[""how does the guy in red move his bicycle up at the start"", ""a video frame showing the guy in red move his bicycle up at the start""]","[""how does the guy in red move his bicycle up at the start"", ""a video frame showing the guy in red move his bicycle up at the start""]",,2,2,0,how_head,,"[""a video frame showing the guy in red move his bicycle up at the start""]",stratified_CH,,,
8,3359075894,how does the man in grey interact with the ball thrown at him,CH,MANNER,,MANNER,0,head_event,the man in grey interact with the ball thrown at him,,"[""original"", ""anchor_primary""]","[""how does the man in grey interact with the ball thrown at him"", ""a video frame showing the man in grey interact with the ball thrown at him""]","[""how does the man in grey interact with the ball thrown at him"", ""a video frame showing the man in grey interact with the ball thrown at him""]",,2,2,0,how_head,,"[""a video frame showing the man in grey interact with the ball thrown at him""]",stratified_CH,,,
0,4774302357,how did the man in grey shirt play his instrument,CH,MANNER,,MANNER,0,head_event,the man in grey shirt play his instrument,,"[""original"", ""anchor_primary""]","[""how did the man in grey shirt play his instrument"", ""a video frame showing the man in grey shirt play his instrument""]","[""how did the man in grey shirt play his instrument"", ""a video frame showing the man in grey shirt play his instrument""]",,2,2,0,how_head,,"[""a video frame showing the man in grey shirt play his instrument""]",stratified_CH,,,
2,8505893258,how does the lady in pink show her affection for the girls,CH,MANNER,,MANNER,0,head_event,the lady in pink show her affection for the girls,,"[""original"", ""anchor_primary""]","[""how does the lady in pink show her affection for the girls"", ""a video frame showing the lady in pink show her affection for the girls""]","[""how does the lady in pink show her affection for the girls"", ""a video frame showing the lady in pink show her affection for the girls""]",,2,2,0,how_head,,"[""a video frame showing the lady in pink show her affection for the girls""]",stratified_CH,,,
7,2957808913,how does the man in black jacket move his hands as he moved his legs forward after the middle part of the video,CH,MANNER,DURING,MANNER,1,clause_extracted,the man in black jacket move his hands,,"[""original"", ""anchor_primary""]","[""how does the man in black jacket move his hands as he moved his legs forward after the middle part of the video"", ""a video frame showing the man in black jacket move his hands""]","[""how does the man in black jacket move his hands as he moved his legs forward after the middle part of the video"", ""a video frame showing the man in black jacket move his hands""]",,2,2,0,how_head,,"[""a video frame showing the man in black jacket move his hands as he moved his legs forward after the middle part of the video""]",stratified_CH,,,
9,3846475848,how does the man ensure that the fur of the ferret is dried,CH,MANNER,,MANNER,0,head_event,the man ensure that the fur of the ferret is dried,,"[""original"", ""anchor_primary""]","[""how does the man ensure that the fur of the ferret is dried"", ""a video frame showing the man ensure that the fur of the ferret is dried""]","[""how does the man ensure that the fur of the ferret is dried"", ""a video frame showing the man ensure that the fur of the ferret is dried""]",,2,2,0,how_head,,"[""a video frame showing the man ensure that the fur of the ferret is dried""]",stratified_CH,,,
8,7771650716,how did the man in white show affection to the grey dog in the middle of the video,CH,MANNER,,MANNER,0,head_event,the man in white show affection to the grey dog,,"[""original"", ""anchor_primary""]","[""how did the man in white show affection to the grey dog in the middle of the video"", ""a video frame showing the man in white show affection to the grey dog""]","[""how did the man in white show affection to the grey dog in the middle of the video"", ""a video frame showing the man in white show affection to the grey dog""]",,2,2,0,how_head,,"[""a video frame showing the man in white show affection to the grey dog in the middle of the video""]",stratified_CH,,,
9,7492398760,how does the lady put down her camera at the start,CH,MANNER,,MANNER,0,head_event,the lady put down her camera at the start,,"[""original"", ""anchor_primary""]","[""how does the lady put down her camera at the start"", ""a video frame showing the lady put down her camera at the start""]","[""how does the lady put down her camera at the start"", ""a video frame showing the lady put down her camera at the start""]",,2,2,0,how_head,,"[""a video frame showing the lady put down her camera at the start""]",stratified_CH,,,
0,2679130168,how did the girl learn how to play with the cushion,CH,MANNER,,MANNER,0,head_event,the girl learn how to play with the cushion,,"[""original"", ""anchor_primary""]","[""how did the girl learn how to play with the cushion"", ""a video frame showing the girl learn how to play with the cushion""]","[""how did the girl learn how to play with the cushion"", ""a video frame showing the girl learn how to play with the cushion""]",,2,2,0,how_head,,"[""a video frame showing the girl learn how to play with the cushion""]",stratified_CH,,,
6,12392885583,how does the woman try to protect the baby when the baby approach the end of the bed,CH,MANNER,DURING,MANNER,1,clause_extracted,the woman try to protect the baby,,"[""original"", ""anchor_primary""]","[""how does the woman try to protect the baby when the baby approach the end of the bed"", ""a video frame showing the woman try to protect the baby""]","[""how does the woman try to protect the baby when the baby approach the end of the bed"", ""a video frame showing the woman try to protect the baby""]",,2,2,0,how_head,,"[""a video frame showing the woman try to protect the baby when the baby approach the end of the bed""]",stratified_CH,,,
1,5803861992,how did the woman beside the baby girl entertain her,CH,MANNER,,MANNER,0,head_event,the woman beside the baby girl entertain her,,"[""original"", ""anchor_primary""]","[""how did the woman beside the baby girl entertain her"", ""a video frame showing the woman beside the baby girl entertain her""]","[""how did the woman beside the baby girl entertain her"", ""a video frame showing the woman beside the baby girl entertain her""]",,2,2,0,how_head,,"[""a video frame showing the woman beside the baby girl entertain her""]",stratified_CH,,,
1,9612838272,how do the children transport themselves down to the bottom,CH,MANNER,,MANNER,0,head_event,the children transport themselves down to the bottom,,"[""original"", ""anchor_primary""]","[""how do the children transport themselves down to the bottom"", ""a video frame showing the children transport themselves down to the bottom""]","[""how do the children transport themselves down to the bottom"", ""a video frame showing the children transport themselves down to the bottom""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how do the children transport themselves down to the bottom"", ""how do the children transport themselves down to the bottom""]",stratified_CH,,,
4,9531760182,what did the lady do after the baby leaned forward,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby leaned forward,the lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady do after the baby leaned forward"", ""a video frame showing the baby leaned forward"", ""a video frame showing the lady""]","[""what did the lady do after the baby leaned forward"", ""a video frame showing the baby leaned forward""]",,3,2,0,what_do,,"[""a video frame showing lady the baby leaned forward"", ""a video frame showing lady""]",stratified_TN,,,
6,5445581571,what did the white dog do after he looked at the black spotted dog,TN,AFTER,AFTER,AFTER,0,clause_extracted,he looked at the black spotted dog,the white dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the white dog do after he looked at the black spotted dog"", ""a video frame showing he looked at the black spotted dog"", ""a video frame showing the white dog""]","[""what did the white dog do after he looked at the black spotted dog"", ""a video frame showing he looked at the black spotted dog""]",,3,2,0,what_do,,"[""a video frame showing white dog he looked at the black spotted dog"", ""a video frame showing white dog""]",stratified_TN,,,
