qid,video,question,type_code,relation_from_type,relation_from_lexical,relation_final,relation_disagreement,extraction_status,anchor_clause,target_entity,query_roles,query_texts,seed_texts,fallback_reason,n_text_embeddings,n_seed_queries,subject_prepended,head_form,v2_fallback_reason,v2_texts
7,5296635780,what does the man do after the lady appear to punch him and smiles,TN,AFTER,AFTER,AFTER,0,clause_extracted,the lady appear to punch him and smiles,the man,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the man do after the lady appear to punch him and smiles"", ""a video frame showing the lady appear to punch him and smiles"", ""a video frame showing the man""]","[""what does the man do after the lady appear to punch him and smiles"", ""a video frame showing the lady appear to punch him and smiles""]",,3,2,0,what_do,,"[""a video frame showing man the lady appear to punch him and smiles"", ""a video frame showing man""]"
1,2614918961,why does the baby turn around near the end of the video,CW,CAUSE,,CAUSE,0,head_event,the baby turn around near the end of the video,,"[""original"", ""anchor_primary""]","[""why does the baby turn around near the end of the video"", ""a video frame showing the baby turn around near the end of the video""]","[""why does the baby turn around near the end of the video"", ""a video frame showing the baby turn around near the end of the video""]",,2,2,0,why_head,,"[""a video frame showing the baby turn around near the end of the video""]"
5,6201488511,why did the lady put her hands over her eyes in the middle of the video,CW,CAUSE,,CAUSE,0,head_event,the lady put her hands over her eyes,,"[""original"", ""anchor_primary""]","[""why did the lady put her hands over her eyes in the middle of the video"", ""a video frame showing the lady put her hands over her eyes""]","[""why did the lady put her hands over her eyes in the middle of the video"", ""a video frame showing the lady put her hands over her eyes""]",,2,2,0,why_head,,"[""a video frame showing the lady put her hands over her eyes in the middle of the video""]"
6,2976913210,how did the man respond when he is stuck in the dirt,TC,DURING,DURING,DURING,0,clause_extracted,he is stuck in the dirt,,"[""original"", ""anchor_primary""]","[""how did the man respond when he is stuck in the dirt"", ""a video frame showing he is stuck in the dirt""]","[""how did the man respond when he is stuck in the dirt"", ""a video frame showing he is stuck in the dirt""]",,2,2,0,how_head,,"[""a video frame showing the man respond when he is stuck in the dirt""]"
6,2793260225,how did the lady and man on top try to keep their balance,CH,MANNER,,MANNER,0,head_event,the lady and man on top try to keep their balance,,"[""original"", ""anchor_primary""]","[""how did the lady and man on top try to keep their balance"", ""a video frame showing the lady and man on top try to keep their balance""]","[""how did the lady and man on top try to keep their balance"", ""a video frame showing the lady and man on top try to keep their balance""]",,2,2,0,how_head,,"[""a video frame showing the lady and man on top try to keep their balance""]"
1,5987365500,why does the girl have her mouth close to the item,CW,CAUSE,,CAUSE,0,head_event,the girl have her mouth close to the item,,"[""original"", ""anchor_primary""]","[""why does the girl have her mouth close to the item"", ""a video frame showing the girl have her mouth close to the item""]","[""why does the girl have her mouth close to the item"", ""a video frame showing the girl have her mouth close to the item""]",,2,2,0,why_head,,"[""a video frame showing the girl have her mouth close to the item""]"
6,6018490041,what does the man in white do after moving forward at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the man in white moving forward at the start,the man in white,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the man in white do after moving forward at the start"", ""a video frame showing the man in white moving forward at the start"", ""a video frame showing the man in white""]","[""what does the man in white do after moving forward at the start"", ""a video frame showing the man in white moving forward at the start""]",,3,2,1,what_do,,"[""a video frame showing man in white moving forward at the start"", ""a video frame showing man in white""]"
2,6582763207,why is the lady standing in the middle tapping on the instrument in the beginning,CW,CAUSE,,CAUSE,0,head_event,the lady standing,,"[""original"", ""anchor_primary""]","[""why is the lady standing in the middle tapping on the instrument in the beginning"", ""a video frame showing the lady standing""]","[""why is the lady standing in the middle tapping on the instrument in the beginning"", ""a video frame showing the lady standing""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady standing in the middle tapping on the instrument in the beginning"", ""why is the lady standing in the middle tapping on the instrument in the beginning""]"
7,7416295940,what does the dog do after the baby touches and caresses the dog s back,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby touches and caresses the dog s back,the dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the dog do after the baby touches and caresses the dog's back"", ""a video frame showing the baby touches and caresses the dog's back"", ""a video frame showing the dog""]","[""what does the dog do after the baby touches and caresses the dog's back"", ""a video frame showing the baby touches and caresses the dog's back""]",,3,2,0,what_do,,"[""a video frame showing dog the baby touches and caresses the dog's back"", ""a video frame showing dog""]"
0,3171006258,why did the man remove one of his skates before standing up,CW,CAUSE,BEFORE,CAUSE,1,clause_extracted,the man remove one of his skates,,"[""original"", ""anchor_primary""]","[""why did the man remove one of his skates before standing up"", ""a video frame showing the man remove one of his skates""]","[""why did the man remove one of his skates before standing up"", ""a video frame showing the man remove one of his skates""]",,2,2,0,why_head,,"[""a video frame showing the man remove one of his skates before standing up""]"
4,3943634344,what did the girl do after she finished reciting the pictures on the book,TN,AFTER,AFTER,AFTER,0,clause_extracted,she finished reciting the pictures on the book,the girl,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the girl do after she finished reciting the pictures on the book"", ""a video frame showing she finished reciting the pictures on the book"", ""a video frame showing the girl""]","[""what did the girl do after she finished reciting the pictures on the book"", ""a video frame showing she finished reciting the pictures on the book""]",,3,2,0,what_do,,"[""a video frame showing girl she finished reciting the pictures on the book"", ""a video frame showing girl""]"
5,5833145209,why did the brown bird bend over into the water,CW,CAUSE,,CAUSE,0,head_event,the brown bird bend over into the water,,"[""original"", ""anchor_primary""]","[""why did the brown bird bend over into the water"", ""a video frame showing the brown bird bend over into the water""]","[""why did the brown bird bend over into the water"", ""a video frame showing the brown bird bend over into the water""]",,2,2,0,why_head,,"[""a video frame showing the brown bird bend over into the water""]"
10,5333075105,why is the man on all fours as he travelled through the thick snow,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the man on all fours,,"[""original"", ""anchor_primary""]","[""why is the man on all fours as he travelled through the thick snow"", ""a video frame showing the man on all fours""]","[""why is the man on all fours as he travelled through the thick snow"", ""a video frame showing the man on all fours""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the man on all fours as he travelled through the thick snow"", ""why is the man on all fours as he travelled through the thick snow""]"
1,5679866364,how does the old man respond when the old woman turns to him at the beginning,TC,DURING,DURING,DURING,0,clause_extracted,the old woman turns to him,,"[""original"", ""anchor_primary""]","[""how does the old man respond when the old woman turns to him at the beginning"", ""a video frame showing the old woman turns to him""]","[""how does the old man respond when the old woman turns to him at the beginning"", ""a video frame showing the old woman turns to him""]",,2,2,0,how_head,,"[""a video frame showing the old man respond when the old woman turns to him at the beginning""]"
1,5116088152,why did the baby put his other hand on the fruit after awhile of putting the fruit in his mouth,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the baby put his other hand on the fruit,,"[""original"", ""anchor_primary""]","[""why did the baby put his other hand on the fruit after awhile of putting the fruit in his mouth"", ""a video frame showing the baby put his other hand on the fruit""]","[""why did the baby put his other hand on the fruit after awhile of putting the fruit in his mouth"", ""a video frame showing the baby put his other hand on the fruit""]",,2,2,0,why_head,,"[""a video frame showing the baby put his other hand on the fruit after awhile of putting the fruit in his mouth""]"
4,4094488636,what does the brown dog do after stepping over the red strap near the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the brown dog stepping over the red strap near the start,the brown dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the brown dog do after stepping over the red strap near the start"", ""a video frame showing the brown dog stepping over the red strap near the start"", ""a video frame showing the brown dog""]","[""what does the brown dog do after stepping over the red strap near the start"", ""a video frame showing the brown dog stepping over the red strap near the start""]",,3,2,1,what_do,,"[""a video frame showing brown dog stepping over the red strap near the start"", ""a video frame showing brown dog""]"
8,6895608152,why is the lady in white moving around the stage,CW,CAUSE,,CAUSE,0,head_event,the lady in white moving around the stage,,"[""original"", ""anchor_primary""]","[""why is the lady in white moving around the stage"", ""a video frame showing the lady in white moving around the stage""]","[""why is the lady in white moving around the stage"", ""a video frame showing the lady in white moving around the stage""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady in white moving around the stage"", ""why is the lady in white moving around the stage""]"
3,3429509208,what did the baby do after he approached near the camera,TN,AFTER,AFTER,AFTER,0,clause_extracted,he approached near the camera,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the baby do after he approached near the camera"", ""a video frame showing he approached near the camera"", ""a video frame showing the baby""]","[""what did the baby do after he approached near the camera"", ""a video frame showing he approached near the camera""]",,3,2,0,what_do,,"[""a video frame showing baby he approached near the camera"", ""a video frame showing baby""]"
2,3477387686,what did the girl do after lifting the dog s ear in the middle of the video,TN,AFTER,AFTER,AFTER,0,clause_extracted,the girl lifting the dog s ear,the girl,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the girl do after lifting the dog's ear in the middle of the video"", ""a video frame showing the girl lifting the dog's ear"", ""a video frame showing the girl""]","[""what did the girl do after lifting the dog's ear in the middle of the video"", ""a video frame showing the girl lifting the dog's ear""]",,3,2,1,what_do,,"[""a video frame showing girl lifting the dog's ear in the middle of the video"", ""a video frame showing girl""]"
0,2405940242,why is the lady in white wearing a helmet,CW,CAUSE,,CAUSE,0,head_event,the lady in white wearing a helmet,,"[""original"", ""anchor_primary""]","[""why is the lady in white wearing a helmet"", ""a video frame showing the lady in white wearing a helmet""]","[""why is the lady in white wearing a helmet"", ""a video frame showing the lady in white wearing a helmet""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the lady in white wearing a helmet"", ""why is the lady in white wearing a helmet""]"
3,7308042410,why is the girl bending forward at the beginning of the video,CW,CAUSE,,CAUSE,0,head_event,the girl bending forward,,"[""original"", ""anchor_primary""]","[""why is the girl bending forward at the beginning of the video"", ""a video frame showing the girl bending forward""]","[""why is the girl bending forward at the beginning of the video"", ""a video frame showing the girl bending forward""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the girl bending forward at the beginning of the video"", ""why is the girl bending forward at the beginning of the video""]"
1,8740703217,what does the baby do after she stops waving her arm up and down,TN,AFTER,AFTER,AFTER,0,clause_extracted,she stops waving her arm up and down,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after she stops waving her arm up and down"", ""a video frame showing she stops waving her arm up and down"", ""a video frame showing the baby""]","[""what does the baby do after she stops waving her arm up and down"", ""a video frame showing she stops waving her arm up and down""]",,3,2,0,what_do,,"[""a video frame showing baby she stops waving her arm up and down"", ""a video frame showing baby""]"
8,3943634344,how did the lady compliment the girl at the end of the video,CH,MANNER,,MANNER,0,head_event,the lady compliment the girl,,"[""original"", ""anchor_primary""]","[""how did the lady compliment the girl at the end of the video"", ""a video frame showing the lady compliment the girl""]","[""how did the lady compliment the girl at the end of the video"", ""a video frame showing the lady compliment the girl""]",,2,2,0,how_head,,"[""a video frame showing the lady compliment the girl at the end of the video""]"
7,4815534482,why did the boy shift around,CW,CAUSE,,CAUSE,0,head_event,the boy shift around,,"[""original"", ""anchor_primary""]","[""why did the boy shift around"", ""a video frame showing the boy shift around""]","[""why did the boy shift around"", ""a video frame showing the boy shift around""]",,2,2,0,why_head,,"[""a video frame showing the boy shift around""]"
1,4584426085,what did the lady do after grabbing the puppy the second time,TN,AFTER,AFTER,AFTER,0,clause_extracted,the lady grabbing the puppy the second time,the lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady do after grabbing the puppy the second time"", ""a video frame showing the lady grabbing the puppy the second time"", ""a video frame showing the lady""]","[""what did the lady do after grabbing the puppy the second time"", ""a video frame showing the lady grabbing the puppy the second time""]",,3,2,1,what_do,,"[""a video frame showing lady grabbing the puppy the second time"", ""a video frame showing lady""]"
0,4263096481,how does the man cut the fish first,CH,MANNER,,MANNER,0,head_event,the man cut the fish first,,"[""original"", ""anchor_primary""]","[""how does the man cut the fish first"", ""a video frame showing the man cut the fish first""]","[""how does the man cut the fish first"", ""a video frame showing the man cut the fish first""]",,2,2,0,how_head,,"[""a video frame showing the man cut the fish first""]"
6,7533369046,what was the baby doing to the white box,TC,DURING,,DURING,0,head_event,the baby doing to the white box,,"[""original"", ""anchor_primary""]","[""what was the baby doing to the white box"", ""a video frame showing the baby doing to the white box""]","[""what was the baby doing to the white box"", ""a video frame showing the baby doing to the white box""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing what was the baby doing to the white box"", ""what was the baby doing to the white box""]"
1,3711681535,why does the woman let go of the handle near the end,CW,CAUSE,,CAUSE,0,head_event,the woman let go of the handle near the end,,"[""original"", ""anchor_primary""]","[""why does the woman let go of the handle near the end"", ""a video frame showing the woman let go of the handle near the end""]","[""why does the woman let go of the handle near the end"", ""a video frame showing the woman let go of the handle near the end""]",,2,2,0,why_head,,"[""a video frame showing the woman let go of the handle near the end""]"
4,11871253306,how did the men squat down on the floor in the beginning,CW,CAUSE,,CAUSE,0,head_event,the men squat down on the floor,,"[""original"", ""anchor_primary""]","[""how did the men squat down on the floor in the beginning"", ""a video frame showing the men squat down on the floor""]","[""how did the men squat down on the floor in the beginning"", ""a video frame showing the men squat down on the floor""]",,2,2,0,how_head,,"[""a video frame showing the men squat down on the floor in the beginning""]"
1,5256928210,what does the man do as the dog stood in front of him,TC,DURING,DURING,DURING,0,clause_extracted,the dog stood in front of him,the man,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the man do as the dog stood in front of him"", ""a video frame showing the dog stood in front of him"", ""a video frame showing the man""]","[""what does the man do as the dog stood in front of him"", ""a video frame showing the dog stood in front of him""]",,3,2,0,what_do,,"[""a video frame showing the dog stood in front of him"", ""a video frame showing man near the dog stood in front of him""]"
2,4978714491,why did both buses sudden start to drive off after they stopped for a while,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,both buses sudden start to drive off,,"[""original"", ""anchor_primary""]","[""why did both buses sudden start to drive off after they stopped for a while"", ""a video frame showing both buses sudden start to drive off""]","[""why did both buses sudden start to drive off after they stopped for a while"", ""a video frame showing both buses sudden start to drive off""]",,2,2,0,why_head,,"[""a video frame showing both buses sudden start to drive off after they stopped for a while""]"
2,9293415110,why are the people sitting behind while the girl is dancing,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the people sitting behind,,"[""original"", ""anchor_primary""]","[""why are the people sitting behind while the girl is dancing"", ""a video frame showing the people sitting behind""]","[""why are the people sitting behind while the girl is dancing"", ""a video frame showing the people sitting behind""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why are the people sitting behind while the girl is dancing"", ""why are the people sitting behind while the girl is dancing""]"
2,5445581571,what did the white dog do after he looked up,TN,AFTER,AFTER,AFTER,0,clause_extracted,he looked up,the white dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the white dog do after he looked up"", ""a video frame showing he looked up"", ""a video frame showing the white dog""]","[""what did the white dog do after he looked up"", ""a video frame showing he looked up""]",,3,2,0,what_do,,"[""a video frame showing white dog he looked up"", ""a video frame showing white dog""]"
0,6624174621,what does the girl do as the lady is sitting in front of the cake,TC,DURING,DURING,DURING,0,clause_extracted,the lady is sitting in front of the cake,the girl,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the girl do as the lady is sitting in front of the cake"", ""a video frame showing the lady is sitting in front of the cake"", ""a video frame showing the girl""]","[""what does the girl do as the lady is sitting in front of the cake"", ""a video frame showing the lady is sitting in front of the cake""]",,3,2,0,what_do,,"[""a video frame showing the lady is sitting in front of the cake"", ""a video frame showing girl near the lady is sitting in front of the cake""]"
5,9088819598,what does the baby do after the ball rolls to the crook of his arm,TN,AFTER,AFTER,AFTER,0,clause_extracted,the ball rolls to the crook of his arm,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after the ball rolls to the crook of his arm"", ""a video frame showing the ball rolls to the crook of his arm"", ""a video frame showing the baby""]","[""what does the baby do after the ball rolls to the crook of his arm"", ""a video frame showing the ball rolls to the crook of his arm""]",,3,2,0,what_do,,"[""a video frame showing baby the ball rolls to the crook of his arm"", ""a video frame showing baby""]"
5,8464056582,what does the baby do as the dog walks away at the start,TC,DURING,DURING,DURING,0,clause_extracted,the dog walks away at the start,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do as the dog walks away at the start"", ""a video frame showing the dog walks away at the start"", ""a video frame showing the baby""]","[""what does the baby do as the dog walks away at the start"", ""a video frame showing the dog walks away at the start""]",,3,2,0,what_do,,"[""a video frame showing the dog walks away at the start"", ""a video frame showing baby near the dog walks away at the start""]"
7,9565310990,what does the baby do after reaching the corner of the cloth,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby reaching the corner of the cloth,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after reaching the corner of the cloth"", ""a video frame showing the baby reaching the corner of the cloth"", ""a video frame showing the baby""]","[""what does the baby do after reaching the corner of the cloth"", ""a video frame showing the baby reaching the corner of the cloth""]",,3,2,1,what_do,,"[""a video frame showing baby reaching the corner of the cloth"", ""a video frame showing baby""]"
2,5635265624,how does the lady show affection to the baby,CH,MANNER,,MANNER,0,head_event,the lady show affection to the baby,,"[""original"", ""anchor_primary""]","[""how does the lady show affection to the baby"", ""a video frame showing the lady show affection to the baby""]","[""how does the lady show affection to the baby"", ""a video frame showing the lady show affection to the baby""]",,2,2,0,how_head,,"[""a video frame showing the lady show affection to the baby""]"
2,5833145209,why is there a puddle of water in the pot,CW,CAUSE,,CAUSE,0,head_event,there a puddle of water in the pot,,"[""original"", ""anchor_primary""]","[""why is there a puddle of water in the pot"", ""a video frame showing there a puddle of water in the pot""]","[""why is there a puddle of water in the pot"", ""a video frame showing there a puddle of water in the pot""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is there a puddle of water in the pot"", ""why is there a puddle of water in the pot""]"
4,8464056582,what does the dog do after the baby sits down at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby sits down at the start,the dog,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the dog do after the baby sits down at the start"", ""a video frame showing the baby sits down at the start"", ""a video frame showing the dog""]","[""what does the dog do after the baby sits down at the start"", ""a video frame showing the baby sits down at the start""]",,3,2,0,what_do,,"[""a video frame showing dog the baby sits down at the start"", ""a video frame showing dog""]"
3,3711681535,why does the woman swing her legs while swinging on the handle,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the woman swing her legs,,"[""original"", ""anchor_primary""]","[""why does the woman swing her legs while swinging on the handle"", ""a video frame showing the woman swing her legs""]","[""why does the woman swing her legs while swinging on the handle"", ""a video frame showing the woman swing her legs""]",,2,2,0,why_head,,"[""a video frame showing the woman swing her legs while swinging on the handle""]"
3,3121571439,how does the man in black feel after the dance,TN,AFTER,AFTER,AFTER,0,clause_extracted,the dance,,"[""original"", ""anchor_primary""]","[""how does the man in black feel after the dance"", ""a video frame showing the dance""]","[""how does the man in black feel after the dance"", ""a video frame showing the dance""]",,2,2,0,how_head,,"[""a video frame showing the man in black feel after the dance""]"
5,7786283208,how does the girl in white move her legs in the middle,CH,MANNER,,MANNER,0,head_event,the girl in white move her legs,,"[""original"", ""anchor_primary""]","[""how does the girl in white move her legs in the middle"", ""a video frame showing the girl in white move her legs""]","[""how does the girl in white move her legs in the middle"", ""a video frame showing the girl in white move her legs""]",,2,2,0,how_head,,"[""a video frame showing the girl in white move her legs in the middle""]"
7,8064178441,what does the baby do after moving the penguin toy nearer to him near the end of the video,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby moving the penguin toy nearer to him near the end of the video,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after moving the penguin toy nearer to him near the end of the video"", ""a video frame showing the baby moving the penguin toy nearer to him near the end of the video"", ""a video frame showing the baby""]","[""what does the baby do after moving the penguin toy nearer to him near the end of the video"", ""a video frame showing the baby moving the penguin toy nearer to him near the end of the video""]",,3,2,1,what_do,,"[""a video frame showing baby moving the penguin toy nearer to him near the end of the video"", ""a video frame showing baby""]"
4,4217422838,what did the lady do after she closed the box in front of her at the beginning of the video,TN,AFTER,AFTER,AFTER,0,clause_extracted,she closed the box in front of her,the lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady do after she closed the box in front of her at the beginning of the video"", ""a video frame showing she closed the box in front of her"", ""a video frame showing the lady""]","[""what did the lady do after she closed the box in front of her at the beginning of the video"", ""a video frame showing she closed the box in front of her""]",,3,2,0,what_do,,"[""a video frame showing lady she closed the box in front of her at the beginning of the video"", ""a video frame showing lady""]"
12,2793806282,what did the lady in blue do when she reached the stairs,TC,DURING,DURING,DURING,0,clause_extracted,she reached the stairs,the lady in blue,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady in blue do when she reached the stairs"", ""a video frame showing she reached the stairs"", ""a video frame showing the lady in blue""]","[""what did the lady in blue do when she reached the stairs"", ""a video frame showing she reached the stairs""]",,3,2,0,what_do,,"[""a video frame showing she reached the stairs"", ""a video frame showing lady in blue near she reached the stairs""]"
2,3524939594,how do the two men feel when they were moved backwards very quickly,TC,DURING,DURING,DURING,0,clause_extracted,they were moved backwards very quickly,,"[""original"", ""anchor_primary""]","[""how do the two men feel when they were moved backwards very quickly"", ""a video frame showing they were moved backwards very quickly""]","[""how do the two men feel when they were moved backwards very quickly"", ""a video frame showing they were moved backwards very quickly""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how do the two men feel when they were moved backwards very quickly"", ""how do the two men feel when they were moved backwards very quickly""]"
6,4138579400,what did the boy do after touching his spectacles,TN,AFTER,AFTER,AFTER,0,clause_extracted,the boy touching his spectacles,the boy,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the boy do after touching his spectacles"", ""a video frame showing the boy touching his spectacles"", ""a video frame showing the boy""]","[""what did the boy do after touching his spectacles"", ""a video frame showing the boy touching his spectacles""]",,3,2,1,what_do,,"[""a video frame showing boy touching his spectacles"", ""a video frame showing boy""]"
9,5328004991,how does the child react after the woman takes over the stirrer,TN,AFTER,AFTER,AFTER,0,clause_extracted,the woman takes over the stirrer,,"[""original"", ""anchor_primary""]","[""how does the child react after the woman takes over the stirrer"", ""a video frame showing the woman takes over the stirrer""]","[""how does the child react after the woman takes over the stirrer"", ""a video frame showing the woman takes over the stirrer""]",,2,2,0,how_head,,"[""a video frame showing the child react after the woman takes over the stirrer""]"
5,2435633172,what do the people do as the pig was scratching itself against the rock,TC,DURING,DURING,DURING,0,clause_extracted,the pig was scratching itself against the rock,the people,"[""original"", ""anchor_primary"", ""target_entity""]","[""what do the people do as the pig was scratching itself against the rock"", ""a video frame showing the pig was scratching itself against the rock"", ""a video frame showing the people""]","[""what do the people do as the pig was scratching itself against the rock"", ""a video frame showing the pig was scratching itself against the rock""]",,3,2,0,what_do,no_clause_pattern_matched,"[""a video frame showing what do the people do as the pig was scratching itself against the rock"", ""what do the people do as the pig was scratching itself against the rock""]"
